direction,datetime,price,signal,new_balance
buy,2023-09-13 09:39:00-04:00,175.6699981689453,-0.2664425121477968,824.3300018310547
buy,2023-09-13 09:40:00-04:00,175.460205078125,-0.3118155651725434,648.8697967529297
buy,2023-09-13 09:46:00-04:00,175.17999267578125,-0.26275490393565537,473.68980407714844
buy,2023-09-13 09:48:00-04:00,175.40499877929688,-0.12246385398750806,298.28480529785156
buy,2023-09-13 09:49:00-04:00,175.32000732421875,-0.15096014447790357,122.96479797363281
sell,2023-09-13 09:56:00-04:00,175.7449951171875,0.32735066172220245,298.7097930908203
sell,2023-09-13 09:57:00-04:00,175.7303009033203,0.3144034966848432,474.4400939941406
sell,2023-09-13 09:58:00-04:00,175.72999572753906,0.29562222306058844,650.1700897216797
sell,2023-09-13 09:59:00-04:00,175.80819702148438,0.3123047877418347,825.9782867431641
sell,2023-09-13 10:00:00-04:00,175.61990356445312,0.16943839723133855,1001.5981903076172
sell,2023-09-13 10:01:00-04:00,175.8300018310547,0.2283895227330697,1177.4281921386719
buy,2023-09-13 10:04:00-04:00,175.2584991455078,-0.19140116410073302,1002.1696929931641
buy,2023-09-13 10:05:00-04:00,175.1999969482422,-0.22983124749834608,826.9696960449219
buy,2023-09-13 10:06:00-04:00,175.03640747070312,-0.2827521861854516,651.9332885742188
buy,2023-09-13 10:07:00-04:00,174.88999938964844,-0.3184409811408841,477.0432891845703
buy,2023-09-13 10:08:00-04:00,175.02000427246094,-0.20395781878762817,302.0232849121094
buy,2023-09-13 10:09:00-04:00,174.8800048828125,-0.23098210484989298,127.14328002929688
sell,2023-09-13 10:23:00-04:00,174.63999938964844,0.1382959662819096,301.7832794189453
sell,2023-09-13 10:24:00-04:00,174.8000030517578,0.22315735430265796,476.5832824707031
sell,2023-09-13 10:25:00-04:00,174.931396484375,0.2693802260661187,651.5146789550781
sell,2023-09-13 10:26:00-04:00,175.1593017578125,0.35173689235622363,826.6739807128906
sell,2023-09-13 10:27:00-04:00,175.17999267578125,0.3052625193624823,1001.8539733886719
sell,2023-09-13 10:28:00-04:00,175.2100067138672,0.2609643461830035,1177.063980102539
sell,2023-09-13 10:29:00-04:00,175.18960571289062,0.20058136487924888,1352.2535858154297
sell,2023-09-13 10:30:00-04:00,175.3699951171875,0.2498638699237619,1527.6235809326172
sell,2023-09-13 10:31:00-04:00,175.33009338378906,0.17314655125179304,1702.9536743164062
sell,2023-09-13 10:32:00-04:00,175.4084930419922,0.1636599006302153,1878.3621673583984
buy,2023-09-13 10:35:00-04:00,175.02169799804688,-0.10970650640033904,1703.3404693603516
buy,2023-09-13 10:45:00-04:00,174.95339965820312,-0.1451811148843362,1528.3870697021484
buy,2023-09-13 10:46:00-04:00,174.83009338378906,-0.1937802513239105,1353.5569763183594
buy,2023-09-13 10:49:00-04:00,174.92999267578125,-0.10750182360996222,1178.6269836425781
buy,2023-09-13 10:50:00-04:00,174.8699951171875,-0.11341992224900034,1003.7569885253906
buy,2023-09-13 10:53:00-04:00,174.78500366210938,-0.10376564355333154,828.9719848632812
buy,2023-09-13 10:54:00-04:00,174.7550048828125,-0.1017845396881637,654.2169799804688
sell,2023-09-13 11:03:00-04:00,175.11000061035156,0.13885485654871926,829.3269805908203
sell,2023-09-13 11:04:00-04:00,175.16969299316406,0.14924084346549582,1004.4966735839844
sell,2023-09-13 11:05:00-04:00,175.14500427246094,0.11537822675172825,1179.6416778564453
buy,2023-09-13 11:13:00-04:00,174.82989501953125,-0.10459953735986324,1004.8117828369141
sell,2023-09-13 11:22:00-04:00,175.13999938964844,0.1183576366712763,1179.9517822265625
sell,2023-09-13 11:23:00-04:00,175.13999938964844,0.10061275958724912,1355.091781616211
sell,2023-09-13 11:30:00-04:00,175.44500732421875,0.1537580149933413,1530.5367889404297
buy,2023-09-13 11:37:00-04:00,175.07000732421875,-0.10173292686599354,1355.466781616211
buy,2023-09-13 11:38:00-04:00,175.04949951171875,-0.1002955398462402,1180.4172821044922
sell,2023-09-13 11:45:00-04:00,175.29629516601562,0.1208582589639019,1355.7135772705078
sell,2023-09-13 11:46:00-04:00,175.4600067138672,0.19776580520734022,1531.173583984375
sell,2023-09-13 11:47:00-04:00,175.57000732421875,0.23196337598454286,1706.7435913085938
sell,2023-09-13 11:48:00-04:00,175.702392578125,0.2701673874424826,1882.4459838867188
sell,2023-09-13 11:49:00-04:00,175.6748046875,0.21868920669339278,2058.1207885742188
sell,2023-09-13 11:58:00-04:00,175.66000366210938,0.11138730991327973,2233.780792236328
sell,2023-09-13 11:59:00-04:00,175.7324981689453,0.14941011024760714,2409.5132904052734
sell,2023-09-13 12:00:00-04:00,175.702392578125,0.11796616031190124,2585.2156829833984
sell,2023-09-13 12:01:00-04:00,175.76019287109375,0.12109846003646513,2760.975875854492
sell,2023-09-13 12:02:00-04:00,175.82000732421875,0.12608239199645863,2936.795883178711
sell,2023-09-13 12:03:00-04:00,175.8800048828125,0.13493598732809242,3112.6758880615234
sell,2023-09-13 12:04:00-04:00,175.9250030517578,0.13547020593473022,3288.6008911132812
sell,2023-09-13 12:05:00-04:00,175.98989868164062,0.14049412109021345,3464.590789794922
sell,2023-09-13 12:06:00-04:00,176.03720092773438,0.1322436350183298,3640.6279907226562
sell,2023-09-13 12:07:00-04:00,176.08889770507812,0.13038111465484065,3816.7168884277344
sell,2023-09-13 12:08:00-04:00,176.11000061035156,0.1167626764012703,3992.826889038086
sell,2023-09-13 12:09:00-04:00,176.19000244140625,0.13619883121469958,4169.016891479492
buy,2023-09-13 12:12:00-04:00,175.82000732421875,-0.10318314845860962,3993.1968841552734
buy,2023-09-13 12:13:00-04:00,175.80999755859375,-0.10489698319994673,3817.3868865966797
buy,2023-09-13 12:14:00-04:00,175.72500610351562,-0.14184136909606257,3641.661880493164
buy,2023-09-13 12:15:00-04:00,175.74000549316406,-0.11913415157273637,3465.921875
buy,2023-09-13 12:31:00-04:00,175.55999755859375,-0.12216251842537655,3290.3618774414062
buy,2023-09-13 12:45:00-04:00,175.27999877929688,-0.10908376929637811,3115.0818786621094
sell,2023-09-13 12:55:00-04:00,175.658203125,0.10584129788049138,3290.7400817871094
buy,2023-09-13 13:04:00-04:00,175.39999389648438,-0.1074597364032492,3115.340087890625
buy,2023-09-13 14:15:00-04:00,174.83999633789062,-0.12769846552654587,2940.5000915527344
buy,2023-09-13 14:16:00-04:00,174.84500122070312,-0.11086044624946671,2765.6550903320312
buy,2023-09-13 14:17:00-04:00,174.8000030517578,-0.11878736877891037,2590.8550872802734
buy,2023-09-13 14:18:00-04:00,174.77499389648438,-0.11509905942858707,2416.080093383789
buy,2023-09-13 14:31:00-04:00,174.61300659179688,-0.10789121993756509,2241.467086791992
sell,2023-09-13 14:40:00-04:00,175.0399932861328,0.11143894103561341,2416.507080078125
buy,2023-09-13 14:49:00-04:00,174.8300018310547,-0.1115195925865507,2241.6770782470703
buy,2023-09-13 14:50:00-04:00,174.75100708007812,-0.14016497576953532,2066.926071166992
buy,2023-09-13 14:51:00-04:00,174.6750030517578,-0.16437142272774802,1892.2510681152344
buy,2023-09-13 14:52:00-04:00,174.67999267578125,-0.13868875400372954,1717.5710754394531
buy,2023-09-13 14:53:00-04:00,174.625,-0.1484351186715325,1542.9460754394531
buy,2023-09-13 14:54:00-04:00,174.47500610351562,-0.20624234439420153,1368.4710693359375
buy,2023-09-13 14:55:00-04:00,174.46499633789062,-0.1791438669931749,1194.0060729980469
sell,2023-09-13 15:30:00-04:00,175.14999389648438,0.12431987694054909,1369.1560668945312
buy,2023-09-13 15:54:00-04:00,174.39999389648438,-0.21214923066731958,1194.7560729980469
buy,2023-09-13 15:55:00-04:00,174.14999389648438,-0.31412626636504654,1020.6060791015625
buy,2023-09-13 15:56:00-04:00,174.3699951171875,-0.15790455308396273,846.236083984375
buy,2023-09-13 15:57:00-04:00,174.4250030517578,-0.10280103950051224,671.8110809326172
buy,2023-09-13 15:58:00-04:00,174.1649932861328,-0.21313801887276682,497.6460876464844
buy,2023-09-13 15:59:00-04:00,174.16000366210938,-0.17939416887966791,323.486083984375
